STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,BEVNAT_EVENT,Ereignisart,CANTON,Kanton,LATE_REG,Nachmeldung,FREQ,Frequenz der Beobachtung,TIME_PERIOD,"Jahr, Monat, Tag",OBS_VALUE,Beobachtungswert,OBS_STATUS,Beobachtungsstatus
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-21,,164,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-22,,152,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-23,,178,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-24,,178,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-25,,176,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-26,,179,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-27,,187,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-28,,144,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-29,,181,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-30,,187,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-01-31,,162,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-01,,175,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-02,,176,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-03,,189,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-04,,182,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-05,,136,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-06,,137,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-07,,160,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-08,,188,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-09,,146,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-10,,160,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-11,,186,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-12,,194,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-13,,183,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-14,,173,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-15,,169,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-16,,180,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-17,,174,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-18,,156,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-19,,192,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-20,,189,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-21,,185,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-22,,205,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-23,,199,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-02-24,,182,,A,Normaler Wert
